,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,1930,Argentina,21,24.3,,5,55,450,5.0,18,,,18,0,,0,0,,,,,,,3.6,,,3.6,,,,,,,/en/squads/f9fddd6e/1930/Argentina-Men-Stats
INT-World Cup,1930,Belgium,13,23.4,,2,22,180,2.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/361422b9/1930/Belgium-Men-Stats
INT-World Cup,1930,Bolivia,13,24.3,,2,22,180,2.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/1bd2760c/1930/Bolivia-Men-Stats
INT-World Cup,1930,Brazil,17,24.2,,2,22,180,2.0,5,,,5,0,,0,0,,,,,,,2.5,,,2.5,,,,,,,/en/squads/304635c3/1930/Brazil-Men-Stats
INT-World Cup,1930,Chile,16,25.7,,3,33,270,3.0,4,,,4,0,,0,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/7fd9c2a2/1930/Chile-Men-Stats
INT-World Cup,1930,France,13,23.4,,3,33,270,3.0,4,,,4,0,,0,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/b1b36dcd/1930/France-Men-Stats
INT-World Cup,1930,Mexico,16,23.3,,3,33,270,3.0,4,,,3,1,,0,0,,,,,,,1.33,,,1.0,,,,,,,/en/squads/b009a548/1930/Mexico-Men-Stats
INT-World Cup,1930,Paraguay,16,23.3,,2,22,180,2.0,1,,,1,0,,0,0,,,,,,,0.5,,,0.5,,,,,,,/en/squads/d2043442/1930/Paraguay-Men-Stats
INT-World Cup,1930,Peru,14,23.7,,2,24,180,2.0,1,,,1,0,,0,1,,,,,,,0.5,,,0.5,,,,,,,/en/squads/f711c854/1930/Peru-Men-Stats
INT-World Cup,1930,Romania,13,22.4,,2,22,180,2.0,3,,,3,0,,0,0,,,,,,,1.5,,,1.5,,,,,,,/en/squads/7def9493/1930/Romania-Men-Stats
INT-World Cup,1930,United States,11,26.7,,3,33,270,3.0,7,,,7,0,,0,0,,,,,,,2.33,,,2.33,,,,,,,/en/squads/0f66725b/1930/United-States-Men-Stats
INT-World Cup,1930,Uruguay,15,26.8,,4,44,360,4.0,15,,,15,0,,0,0,,,,,,,3.75,,,3.75,,,,,,,/en/squads/870e020f/1930/Uruguay-Men-Stats
INT-World Cup,1930,Yugoslavia,12,21.4,,3,33,270,3.0,7,,,7,0,,0,0,,,,,,,2.33,,,2.33,,,,,,,/en/squads/7dc9f983/1930/Yugoslavia-Men-Stats
INT-World Cup,1934,Argentina,11,23.9,,1,11,90,1.0,2,,,2,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/f9fddd6e/1934/Argentina-Men-Stats
INT-World Cup,1934,Austria,13,25.8,,4,44,390,4.3,7,,,7,0,,0,0,,,,,,,1.62,,,1.62,,,,,,,/en/squads/d5121f10/1934/Austria-Men-Stats
INT-World Cup,1934,Belgium,11,24.4,,1,11,90,1.0,2,,,2,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/361422b9/1934/Belgium-Men-Stats
INT-World Cup,1934,Brazil,11,23.3,,1,11,90,1.0,1,,,1,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/304635c3/1934/Brazil-Men-Stats
INT-World Cup,1934,Czechoslovakia,13,26.6,,4,44,390,4.3,9,,,9,0,,0,0,,,,,,,2.08,,,2.08,,,,,,,/en/squads/969248b8/1934/Czechoslovakia-Men-Stats
INT-World Cup,1934,Egypt,11,25.2,,1,12,90,1.0,2,,,2,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/b8889750/1934/Egypt-Men-Stats
INT-World Cup,1934,France,11,24.3,,1,11,120,1.3,2,,,1,1,,0,0,,,,,,,1.5,,,0.75,,,,,,,/en/squads/b1b36dcd/1934/France-Men-Stats
INT-World Cup,1934,Germany,18,23.5,,4,44,360,4.0,11,,,11,0,,0,0,,,,,,,2.75,,,2.75,,,,,,,/en/squads/c1e40422/1934/Germany-Men-Stats
INT-World Cup,1934,Hungary,16,25.2,,2,22,180,2.0,5,,,4,1,,0,1,,,,,,,2.5,,,2.0,,,,,,,/en/squads/b4ac5e97/1934/Hungary-Men-Stats
INT-World Cup,1934,Italy,17,28.4,,5,55,510,5.7,12,,,12,0,,0,0,,,,,,,2.12,,,2.12,,,,,,,/en/squads/998c5958/1934/Italy-Men-Stats
INT-World Cup,1934,Netherlands,11,25.7,,1,11,90,1.0,2,,,2,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/5bb5024a/1934/Netherlands-Men-Stats
INT-World Cup,1934,Romania,11,24.1,,1,11,90,1.0,1,,,1,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/7def9493/1934/Romania-Men-Stats
INT-World Cup,1934,Spain,19,24.9,,3,33,300,3.3,4,,,3,1,,0,0,,,,,,,1.2,,,0.9,,,,,,,/en/squads/b561dd30/1934/Spain-Men-Stats
INT-World Cup,1934,Sweden,11,27.5,,2,22,180,2.0,4,,,4,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/296f69e7/1934/Sweden-Men-Stats
INT-World Cup,1934,Switzerland,13,24.5,,2,22,180,2.0,5,,,5,0,,0,0,,,,,,,2.5,,,2.5,,,,,,,/en/squads/81021a70/1934/Switzerland-Men-Stats
INT-World Cup,1934,United States,11,28.5,,1,11,90,1.0,1,,,1,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/0f66725b/1934/United-States-Men-Stats
INT-World Cup,1938,Belgium,11,26.1,,1,11,90,1.0,1,,,1,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/361422b9/1938/Belgium-Men-Stats
INT-World Cup,1938,Brazil,21,25.6,,5,55,510,5.7,14,,,14,0,,0,2,,,,,,,2.47,,,2.47,,,,,,,/en/squads/304635c3/1938/Brazil-Men-Stats
INT-World Cup,1938,Cuba,14,20.5,,3,33,300,3.3,5,,,5,0,,0,0,,,,,,,1.5,,,1.5,,,,,,,/en/squads/9038ec62/1938/Cuba-Men-Stats
INT-World Cup,1938,Czechoslovakia,17,26.6,,3,33,330,3.7,5,,,4,1,,0,1,,,,,,,1.36,,,1.09,,,,,,,/en/squads/969248b8/1938/Czechoslovakia-Men-Stats
INT-World Cup,1938,Dutch East Indies,11,24.8,,1,11,90,1.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/270e8684/1938/Dutch-East-Indies-Men-Stats
INT-World Cup,1938,France,11,27.1,,2,22,180,2.0,4,,,4,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/b1b36dcd/1938/France-Men-Stats
