season,team,players_used,age,matches_played,starts,minutes,90s_played,goals,goals_minus_penalty,penalty_goals,yellow_cards,red_cards,goals_per_90,goals_minus_penalty_per_90,world_cup_winner,continent
1930,Argentina,21,24.3,5,55,450,5.0,18,18,0,0,0,3.6,3.6,0,Americas
1930,Belgium,13,23.4,2,22,180,2.0,0,0,0,0,0,0.0,0.0,0,Europe
1930,Bolivia,13,24.3,2,22,180,2.0,0,0,0,0,0,0.0,0.0,0,Americas
1930,Brazil,17,24.2,2,22,180,2.0,5,5,0,0,0,2.5,2.5,0,Americas
1930,Chile,16,25.7,3,33,270,3.0,4,4,0,0,0,1.33,1.33,0,Americas
1930,France,13,23.4,3,33,270,3.0,4,4,0,0,0,1.33,1.33,0,Europe
1930,Mexico,16,23.3,3,33,270,3.0,4,3,1,0,0,1.33,1.0,0,Americas
1930,Paraguay,16,23.3,2,22,180,2.0,1,1,0,0,0,0.5,0.5,0,Americas
1930,Peru,14,23.7,2,24,180,2.0,1,1,0,0,1,0.5,0.5,0,Americas
1930,Romania,13,22.4,2,22,180,2.0,3,3,0,0,0,1.5,1.5,0,Europe
1930,United States,11,26.7,3,33,270,3.0,7,7,0,0,0,2.33,2.33,0,Americas
1930,Uruguay,15,26.8,4,44,360,4.0,15,15,0,0,0,3.75,3.75,1,Americas
1930,Yugoslavia,12,21.4,3,33,270,3.0,7,7,0,0,0,2.33,2.33,0,Europe
1934,Argentina,11,23.9,1,11,90,1.0,2,2,0,0,0,2.0,2.0,0,Americas
1934,Austria,13,25.8,4,44,390,4.3,7,7,0,0,0,1.62,1.62,0,Europe
1934,Belgium,11,24.4,1,11,90,1.0,2,2,0,0,0,2.0,2.0,0,Europe
1934,Brazil,11,23.3,1,11,90,1.0,1,1,0,0,0,1.0,1.0,0,Americas
1934,Czechoslovakia,13,26.6,4,44,390,4.3,9,9,0,0,0,2.08,2.08,0,Europe
1934,Egypt,11,25.2,1,12,90,1.0,2,2,0,0,0,2.0,2.0,0,Africa
1934,France,11,24.3,1,11,120,1.3,2,1,1,0,0,1.5,0.75,0,Europe
1934,Germany,18,23.5,4,44,360,4.0,11,11,0,0,0,2.75,2.75,0,Europe
1934,Hungary,16,25.2,2,22,180,2.0,5,4,1,0,1,2.5,2.0,0,Europe
1934,Italy,17,28.4,5,55,510,5.7,12,12,0,0,0,2.12,2.12,1,Europe
1934,Netherlands,11,25.7,1,11,90,1.0,2,2,0,0,0,2.0,2.0,0,Europe
1934,Romania,11,24.1,1,11,90,1.0,1,1,0,0,0,1.0,1.0,0,Europe
1934,Spain,19,24.9,3,33,300,3.3,4,3,1,0,0,1.2,0.9,0,Europe
1934,Sweden,11,27.5,2,22,180,2.0,4,4,0,0,0,2.0,2.0,0,Europe
1934,Switzerland,13,24.5,2,22,180,2.0,5,5,0,0,0,2.5,2.5,0,Europe
1934,United States,11,28.5,1,11,90,1.0,1,1,0,0,0,1.0,1.0,0,Americas
1938,Belgium,11,26.1,1,11,90,1.0,1,1,0,0,0,1.0,1.0,0,Europe
1938,Brazil,21,25.6,5,55,510,5.7,14,14,0,0,2,2.47,2.47,0,Americas
1938,Cuba,14,20.5,3,33,300,3.3,5,5,0,0,0,1.5,1.5,0,Americas
1938,Czechoslovakia,17,26.6,3,33,330,3.7,5,4,1,0,1,1.36,1.09,0,Europe
1938,Dutch East Indies,11,24.8,1,11,90,1.0,0,0,0,0,0,0.0,0.0,0,Asia
1938,France,11,27.1,2,22,180,2.0,4,4,0,0,0,2.0,2.0,0,Europe
1938,Germany,17,25.4,2,22,210,2.3,2,2,0,0,1,0.86,0.86,0,Europe
1938,Hungary,17,27.0,4,44,360,4.0,14,14,0,0,0,3.5,3.5,0,Europe
1938,Italy,14,26.1,4,44,390,4.3,11,10,1,0,0,2.54,2.31,1,Europe
1938,Netherlands,11,26.2,1,11,120,1.3,0,0,0,0,0,0.0,0.0,0,Europe
1938,Norway,11,26.1,1,11,120,1.3,1,1,0,0,0,0.75,0.75,0,Europe
1938,Poland,11,25.0,1,11,120,1.3,5,4,1,0,0,3.75,3.0,0,Europe
1938,Romania,16,26.6,2,24,210,2.3,4,4,0,0,0,1.71,1.71,0,Europe
1938,Sweden,15,26.7,3,33,270,3.0,11,11,0,0,0,3.67,3.67,0,Europe
1938,Switzerland,13,26.1,3,33,300,3.3,5,5,0,0,0,1.5,1.5,0,Europe
1950,Bolivia,11,25.7,1,11,90,1.0,0,0,0,0,0,0.0,0.0,0,Americas
1950,Brazil,17,27.4,6,66,540,6.0,21,21,0,1,0,3.5,3.5,0,Americas
1950,Chile,16,24.8,3,33,270,3.0,5,5,0,0,0,1.67,1.67,0,Americas
1950,England,15,27.7,3,33,270,3.0,2,2,0,0,0,0.67,0.67,0,Europe
1950,Italy,18,27.0,2,22,180,2.0,4,4,0,0,0,2.0,2.0,0,Europe
1950,Mexico,17,24.9,3,33,270,3.0,2,1,1,0,0,0.67,0.33,0,Americas
1950,Paraguay,11,27.0,2,22,180,2.0,2,2,0,0,0,1.0,1.0,0,Americas
1950,Spain,18,26.2,6,66,540,6.0,10,10,0,0,0,1.67,1.67,0,Europe
1950,Sweden,15,26.7,5,55,450,5.0,11,10,1,0,0,2.2,2.0,0,Europe
1950,Switzerland,13,27.8,3,33,270,3.0,4,4,0,0,0,1.33,1.33,0,Europe
1950,United States,12,26.2,3,33,270,3.0,4,3,1,0,0,1.33,1.0,0,Americas
1950,Uruguay,14,26.1,4,44,360,4.0,15,15,0,0,0,3.75,3.75,1,Americas
1950,Yugoslavia,13,27.0,3,33,270,3.0,7,7,0,0,0,2.33,2.33,0,Europe
1954,Austria,15,27.0,5,55,450,5.0,16,15,1,0,0,3.2,3.0,0,Europe
1954,Belgium,12,27.0,2,22,210,2.3,4,4,0,0,0,1.71,1.71,0,Europe
1954,Brazil,14,26.2,3,33,300,3.3,8,7,1,0,2,2.4,2.1,0,Americas
1954,Czechoslovakia,14,25.3,2,22,180,2.0,0,0,0,0,0,0.0,0.0,0,Europe
1954,England,14,29.6,3,33,300,3.3,8,8,0,0,0,2.4,2.4,0,Europe
1954,France,14,25.0,2,22,180,2.0,2,1,1,0,0,1.0,0.5,0,Europe
1954,Germany,18,28.2,6,66,540,6.0,24,22,2,0,0,4.0,3.67,1,Europe
1954,Hungary,15,27.4,5,55,480,5.3,27,26,1,0,1,5.06,4.87,0,Europe
1954,Italy,17,26.8,3,33,270,3.0,6,5,1,0,0,2.0,1.67,0,Europe
1954,Korea Republic,18,29.5,2,22,180,2.0,0,0,0,0,0,0.0,0.0,0,Asia
1954,Mexico,13,25.5,2,22,180,2.0,2,2,0,0,0,1.0,1.0,0,Americas
1954,Switzerland,14,27.7,4,44,360,4.0,11,11,0,0,0,2.75,2.75,0,Europe
1954,Türkiye,15,24.5,3,33,270,3.0,10,10,0,0,0,3.33,3.33,0,Asia
1954,Uruguay,15,26.9,5,55,480,5.3,16,16,0,0,0,3.0,3.0,0,Americas
1954,Yugoslavia,12,26.9,3,33,300,3.3,2,2,0,0,0,0.6,0.6,0,Europe
1958,Argentina,14,28.3,3,33,270,3.0,5,3,2,0,0,1.67,1.0,0,Americas
1958,Austria,16,26.8,3,33,270,3.0,2,2,0,0,0,0.67,0.67,0,Europe
1958,Brazil,16,25.9,6,66,540,6.0,16,16,0,0,0,2.67,2.67,1,Americas
1958,Czechoslovakia,16,25.1,4,44,390,4.3,9,8,1,0,1,2.08,1.85,0,Europe
1958,England,15,26.0,5,44,360,4.0,4,3,1,0,0,1.0,0.75,0,Europe
1958,France,15,27.2,6,66,540,6.0,23,22,1,0,0,3.83,3.67,0,Europe
1958,Hungary,16,26.7,4,44,360,4.0,7,7,0,0,1,1.75,1.75,0,Europe
1958,Mexico,17,26.5,3,33,270,3.0,1,1,0,0,0,0.33,0.33,0,Americas
1958,Paraguay,13,23.9,3,33,270,3.0,9,8,1,0,0,3.0,2.67,0,Americas
1958,Sweden,16,29.5,6,66,540,6.0,12,11,1,0,0,2.0,1.83,0,Europe
1958,Germany,18,27.6,6,66,540,6.0,12,12,0,0,1,2.0,2.0,0,Europe
1958,Yugoslavia,14,26.8,4,44,360,4.0,7,7,0,0,0,1.75,1.75,0,Europe
1962,Argentina,19,25.5,3,33,270,3.0,2,2,0,1,0,0.67,0.67,0,Americas
1962,Brazil,12,30.3,6,66,540,6.0,14,14,0,0,1,2.33,2.33,1,Americas
1962,Bulgaria,17,25.3,3,33,270,3.0,1,1,0,0,0,0.33,0.33,0,Europe
1962,Chile,17,25.8,6,66,540,6.0,10,9,1,0,1,1.67,1.5,0,Americas
1962,Colombia,15,26.0,3,33,270,3.0,5,4,1,0,0,1.67,1.33,0,Americas
1962,Czechoslovakia,15,26.5,6,66,540,6.0,7,6,1,0,0,1.17,1.0,0,Europe
1962,England,12,25.7,4,44,360,4.0,5,3,2,0,0,1.25,0.75,0,Europe
1962,Hungary,15,26.0,4,44,360,4.0,8,8,0,0,0,2.0,2.0,0,Europe
